comment,sentiment,label
Can't stop laughing at your videos. Hilarious!,positive,2
Disappointing video. Expected better from this channel.,negative,0
Your videos are so interesting and informative. Subscribed!,positive,2
I don't get the hate. Your content is excellent.,positive,2
This channel is a joke. Unsubscribed.,negative,0
Your videos always brighten my day. Thank you!,positive,2
I don't know how anyone enjoys this. Boring and pointless.,negative,0
Your insights are always on point. Love your channel!,positive,2
Thumbs down. This video is a letdown.,negative,0
Your content is so addictive. Can't get enough!,positive,2
I expected more from this channel. Disappointed.,negative,0
Your videos are a breath of fresh air. Keep it up!,positive,2
This is just another clickbait video. Not impressed.,negative,0
"I've never commented before, but this video is amazing!",positive,2
This channel used to be good. Now it's just bad content.,negative,0
Great video! Your channel deserves more recognition.,positive,2
This video is so cringe. Unwatchable.,negative,0
Your content changed my perspective. Thank you!,positive,2
This channel is overrated. Nothing special.,negative,0
Your analysis is always thorough and insightful. Well done!,positive,2
This video is a waste of time. Disliked.,negative,0
I can't wait for your next upload. Love your content!,positive,2
This is garbage. Why is this even on YouTube?,negative,0
Your videos are top-notch. Keep them coming!,positive,2
I don't know why I keep watching. It's so bad.,negative,0
Your content is top-quality. Subscribed!,positive,2
Dislike. This channel is a disappointment.,negative,0
Your videos are so dull. No substance.,negative,0
kys,negative,0
